step	accuracy
0	0.562375009059906
1	0.640625
2	0.6579999923706055
3	0.6811249852180481
4	0.6817499995231628
5	0.6918749809265137
6	0.7057499885559082
7	0.7064999938011169
8	0.7229999899864197
9	0.7149999737739563
